Plant_Air_NM3,Instrument_Air_NM3,Steam_Ton,Power_MWh,Production_N2_NM3,Production_O2_NM3,Production_CA_NM3,Total_Production_NM3,Energy_Input_MJ,EnPI_MJ_NM3
3939978,11642519,11187,101794,45881531,81889902,15595519,143366952,402957113.2,2.83
4374478,11307519,11256,110171,40087531,69954502,15695019,125737052,433339347,3.46
4297032,11183877,11395,111194,42499855,79777315,15493931,137771101,437475476,3.19
5023478,11767519,11430,110436,42103531,78034502,16804019,136942052,434860823.6,3.19
5194062,11565350,11186,108660,41721030,79513535,16772434,138006999,427671451.8,3.12
4954678,11733519,11256,108867,39202531,79597502,16701219,135501252,428644947,3.18
5137563,11255519,10811,108641,39634531,75348002,16406104,131388637,426380041.8,3.26
4289278,11948519,10883,108293,38239531,72728402,16250819,127218752,425362059.7,3.36
3912178,12309519,11026,109246,40311531,78976002,16234719,135522252,429259234.2,3.19
4022124,12502519,10703,106925,38615531,80971502,16537665,136124698,419850214.9,3.1
3957478,11826519,10258,90951,33183531,55952502,15797019,104933052,360892509.7,3.46
3689178,11455519,10295,96330,40038531,79530502,15157719,134726752,380377580,2.84
3963378,12200519,11015,116552,40336531,98935502,16176919,155448952,455524959.2,2.95
4370078,11998519,10805,118584,38757531,99535502,16381619,154674652,462155273.6,3.01
4557978,11842519,10905,117977,38095531,96210502,16413519,150719552,460296209.6,3.07
5187478,11810519,11624,117949,35911531,94519502,17011019,147442052,462540327.5,3.16
5028498,12000814,10945,116086,34068531,93989502,17042334,145100367,453619064,3.14
4358296,11999519,9734,98680,32631531,71023502,16370837,120025870,387007957.1,3.24
3681978,11976519,10892,105142,38485531,70190578,15671519,124347628,414047812,3.35
3864478,12541519,10292,112187,36760531,92380502.15,16419019,145560052.15,437452996,3.02
4638478,12987520,10607,111556,35536531,95594502,17639020,148770053,436208724.4,2.95
4160088,13140519,10706,112039,34763031,96158502,17313629,148235162,438270399,2.98
3730378,13897519,10706,111367,36839531,86676502,17640919,141156952,435851199,3.11
4254978,13756519,10472,110596,39512531,84000502,18024519,141537552,432312440.8,3.07
5448478,13704519,10581,114587,40554531,88990502,19166019,148711052,447035529,3.02
5973478,13145519,10820,116621,38367531,91773002,19132019,149272552,455137394,3.07
5246478,13532519,10862,115752,36785531,93840502,18792019,149418052,452145971.2,3.04
5384978,13998519,11166,118028,35611531,96524002,19396519,151532052,461331024.6,3.06
6402478,14103019,10268,98614,32168031,82798502,20518519,135485052,388511923.3,2.89
6844478,14301519,10697,118503,38358531,90196502,21159019,149714052,461511446.8,3.1
6470978,13824019,10483,114512,36017531,90892502,20308019,147218052,446445915.7,3.05
6105978,14089519,10519,114697,35468531,93434502,20208519,149111552,447229324.7,3.02
6019478,14247519,10685,112377,37018531,91304502,20280019,148603052,439418710.4,2.98
6741478,13347519,10540,117155,37125531,93130002,20102019,150357552,456146613.2,3.05
6301778,13389819,11205,115946,35680531,94328102,19704619,149713252,453963017.6,3.05
